host_id,contest_id,name,country_id
HOST000,CONT000,J4CYGO6ZUD,CTRY009
HOST001,CONT000,O9AYTHHDDO,CTRY016
HOST002,CONT001,G2UE1IV0B1,CTRY011
HOST003,CONT001,HI8H7PR28J,CTRY013
HOST004,CONT002,2K3TYDCCPV,CTRY019
HOST005,CONT002,B96DO9UZXC,CTRY032
HOST006,CONT003,A4X76BT3PP,CTRY000
HOST007,CONT003,E690CWBKE4,CTRY002
HOST008,CONT004,HS0LT59HHP,CTRY017
HOST009,CONT004,ZUYR7VHTCL,CTRY005
HOST010,CONT005,R452E52DY7,CTRY029
HOST011,CONT005,39KQ5F7UXK,CTRY008
HOST012,CONT006,E4QWL67C7H,CTRY019
HOST013,CONT006,P4NN4GCT8B,CTRY007
HOST014,CONT007,WK8XN29GXE,CTRY021
HOST015,CONT007,KBZCMLOX8G,CTRY021
HOST016,CONT008,CT3M9GX06A,CTRY015
HOST017,CONT008,WKZCZVVWS6,CTRY025
HOST018,CONT009,MOKU8HCNVW,CTRY038
HOST019,CONT009,0PMXON2KF9,CTRY006
HOST020,CONT010,Q0QOEXOANA,CTRY020
HOST021,CONT010,ABK97EI9NX,CTRY034
HOST022,CONT011,85J2S2DA89,CTRY021
HOST023,CONT011,OTCJ81RTAO,CTRY020
HOST024,CONT012,GZE5XFFFGF,CTRY029
HOST025,CONT012,AJLFG9VKAD,CTRY018
HOST026,CONT013,0TQ2I6DEIY,CTRY037
HOST027,CONT013,38LL2PF1TE,CTRY001
HOST028,CONT014,32PEZX8UB1,CTRY024
HOST029,CONT014,SB7AC6DK57,CTRY011
HOST030,CONT015,ICL12S67JQ,CTRY031
HOST031,CONT015,OQ0WTGXY7I,CTRY036
HOST032,CONT016,N1R6X8YIU1,CTRY024
HOST033,CONT016,YD3W6Q763O,CTRY000
HOST034,CONT017,ULLLMRNUZA,CTRY010
HOST035,CONT017,1G6AP8UBK6,CTRY017
HOST036,CONT018,S2PN0NPIQJ,CTRY010
HOST037,CONT018,PBOFO7PUK6,CTRY023
HOST038,CONT019,CMWSH0WFWO,CTRY028
HOST039,CONT019,JQ44G23TYI,CTRY003
